"concept","description"
"tag","tag"
"parent","parent"
"geo","geo"
"world_6region","world_6region"
"income_groups","income_groups"
"landlocked","landlocked"
"g77_and_oecd_countries","g77_and_oecd_countries"
"main_religion_2008","main_religion_2008"
"country","country"
"world_4region","world_4region"
"global","global"
"age","age"
"latitude","latitude"
"longitude","longitude"
